"Row.names"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"CTB_1st_717"	"CTB_1st_722"	"CTB_1st_732"	"CTB_1st_734"	"CTB_1st_738"	"CTB_1st_750"	"CTB_1st_761"	"CTB_1st_770"	"CTB_1st_771"	"CTB_1st_772"	"EVT_1st_1026"	"EVT_1st_1087"	"EVT_1st_1089"	"EVT_1st_1094"	"EVT_1st_1096"	"EVT_1st_1097"	"EVT_1st_1099"	"EVT_1st_951"	"EVT_1st_970"	"EVT_1st_977"
"14"	"ENSG00000002330.13"	-0.747685986969951	4.9871753743321	-7.51287847279627	0.000000210782256085769	0.000000533364909403886	6.47426377340202	4.82789680342202	4.79813466583312	4.63164111161787	4.57222470369046	4.87576631090311	4.55646365465562	4.14424232128865	4.22089693488721	4.6817317351183	4.78630182287119	5.16086691922238	5.13142325649281	5.36829813029995	5.46453675084967	5.63067810520829	5.6091023895049	5.44400263453479	5.54136996681035	5.26469915251174	5.0332301169195
"15"	"ENSG00000002549.12"	-0.443239429670943	5.81179967137007	-4.78009146575994	0.0000988595099726838	0.000167399291665265	0.130514120495041	5.61178344497572	5.35510642272082	5.52670959044883	5.55701898190492	5.6859367802214	5.42841031320816	5.73014837668104	5.6683141303371	5.67380792917626	5.68460881384592	5.76797869721129	6.48179493250266	5.94094438749502	5.65294643062085	6.11711593104701	6.27940058811073	5.63654388785472	6.16751757034495	6.20380495623387	6.06610126246005
"16"	"ENSG00000002587.9"	-6.05435761340348	1.54038474626185	-4.74834765994681	0.000106638541988842	0.000179951449678308	1.34958666789221	-5.99785702946109	-0.141670552248136	-0.681443464104362	-0.651907371831084	-0.716213513160039	0.92530392560395	-2.38926439623987	-3.14042026118741	-1.1785087671914	-0.988272716284598	5.32663108832567	5.64608790993773	4.55800472863142	3.99137649035118	4.20633995515767	5.29591181749626	3.82882552076663	4.70822992606443	4.55375187791727	3.65278975669283
"17"	"ENSG00000002726.20"	-10.8954028084901	5.8112262066109	-6.19308310448084	0.00000368966172611951	0.00000759194802628658	4.51266329526871	-0.16496701529635	4.64733632823335	-0.815744555815953	-0.50380873284195	-1.87848494205892	2.87994339220407	-0.422431260175067	-1.424213227188	0.545281438227073	0.976394210603121	11.5514751531778	8.22602564238541	11.6904316947918	13.0234153161024	11.4690756771594	10.4145877239316	11.6731092262279	13.5514356638752	10.0883834865551	10.69727891212
"19"	"ENSG00000002834.17"	-2.15245213954524	7.13299132984385	-15.7391036382762	3.67405462701566e-13	3.53992247396588e-12	20.0339977172435	6.24620943473373	5.97391336943877	5.46740027713606	6.48598380197152	6.11640721588196	6.49559336194625	5.72163408615363	6.26806112671744	5.54404005420593	6.26301879347909	8.42232428212842	8.07272490963781	7.93527511935809	8.09209586024524	8.06240088453914	7.80862430244964	8.34528987755808	8.60579979594097	8.60278820422485	8.13024183913029
"21"	"ENSG00000003056.7"	-0.225075584904249	6.10416497409348	-3.77613642767685	0.00109571971651263	0.0016358118858064	-2.28784272351295	6.12205675599118	6.02609495658821	5.90184828363228	5.99623154823749	6.19756712227185	6.13549980027703	5.99404716585449	5.8807580272106	5.79007076182469	5.88368218812873	6.13409675266242	6.41497115654925	6.14479631998223	5.9895689791009	6.27491855794047	6.31818684641023	6.10736102014061	6.23831821542826	6.32206114128339	6.21116388235525
"22"	"ENSG00000003393.14"	-0.181507609765355	5.03729889948526	-3.02818807111698	0.00635637586371496	0.00868991024611482	-3.91092241354086	5.01686090039892	5.02145655893428	5.01961265867798	4.7815934860203	4.98127167795851	5.09293711553827	4.92196787803959	4.7325843402687	4.83170143141082	5.03266243024987	5.0544198947813	5.3085472993273	5.03714272397885	5.21101370427895	5.18927452029961	4.92508567528765	5.22755036490987	5.28099981850361	4.99866641853073	5.08062909231012
"24"	"ENSG00000003436.15"	-3.99384861068013	9.14984824161719	-20.281750727694	2.36364871497376e-15	5.42653725072259e-14	25.2349201924888	6.42289272883571	8.2164903414675	7.01235321753546	7.72536179158834	7.05492470489849	7.77627951563205	6.98834052864017	6.36198536148461	6.85708182048412	7.09662137532713	11.1085263129389	11.5413091949617	11.1567850126116	10.8050613381149	11.3457757972347	11.0708977473465	11.0018394092727	10.8066665315887	11.3446298585025	11.303142243878
"25"	"ENSG00000003509.15"	0.454069857430014	3.46717730531844	4.73307816045551	0.000110597612964134	0.000186084586365058	0.500553100014139	3.46362241782506	4.03930963770317	3.47595961708328	3.729226312455	3.70504560316911	3.85671684034654	3.68463371742867	3.77844297608718	3.58927441896459	3.55538281027964	3.18244517133291	3.19145089538399	3.33102940941039	3.41960032609036	3.38842826552665	3.0407628365844	2.8364387048765	3.4505698697557	3.08726661440049	3.53793966166524
"26"	"ENSG00000003756.16"	0.223812809316184	7.12771189397918	3.53577564758751	0.00194118670980902	0.0028141480273278	-2.87289659527868	7.11994838222135	7.14671640693872	7.303323085758	7.1143081361339	7.04646891216089	7.55299413482443	7.27299937567941	7.23911282678495	7.15064201667455	7.44729673560716	7.25124259348782	7.12201558949057	6.99289477472057	7.00724524786484	6.86859047943399	6.88711493680738	6.9292514720631	7.05403072396607	7.02133178013403	7.02671026883191
