"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000198853.11"	3.67289692916022	6.06298145338231	1.09935544554749e-140	2.57823837331922e-138
"ENSG00000108679.12"	2.795946925817	9.03588013148305	4.5662262916146e-140	1.04708642451491e-137
"ENSG00000140743.7"	3.15608095792189	4.69155593621163	6.78618684203851e-140	1.52231873963033e-137
"ENSG00000067066.16"	2.26033365739707	5.47467225648393	4.44160078223715e-139	9.75167627061812e-137
"ENSG00000169696.15"	2.29354716346912	6.76024257456589	8.13866122935492e-139	1.74964260886903e-136
"ENSG00000186522.14"	2.04927711928332	6.24686418901356	6.34426540452557e-137	1.33605050427141e-134
"ENSG00000070540.12"	2.21666378011918	7.05461149779922	1.04357811290639e-136	2.15373650941621e-134
"ENSG00000088280.18"	4.28822394591739	8.6467135217294	2.0602848967053e-136	4.16864310766706e-134
"ENSG00000139433.9"	-2.28205158269437	5.89851954669089	7.19602777541223e-136	1.42799635797075e-133
"ENSG00000180530.10"	2.90484660126179	9.92382388149369	1.80742607163027e-134	3.51902445908542e-132
"ENSG00000001036.13"	1.96020890468354	6.38409954575137	1.94770393648253e-134	3.72191794825246e-132
"ENSG00000166974.12"	5.60748527747463	5.37841765226237	3.43240770194104e-134	6.43982092296902e-132
"ENSG00000139116.18"	3.12469585711916	7.93959039922994	6.12170674202627e-134	1.12803378341016e-131
"ENSG00000166128.12"	2.73005440314798	8.22024477969857	9.14589799317479e-134	1.65572844546615e-131
"ENSG00000166710.17"	2.70172147581556	10.1934847230101	1.80214455925026e-133	3.20626374256956e-131
"ENSG00000101160.13"	2.49439762465162	6.38157949767119	1.95237682015866e-133	3.41467396732496e-131
"ENSG00000114850.6"	1.99027180017461	7.76148246690146	2.16286396775609e-133	3.71976554721251e-131
"ENSG00000142669.14"	2.87005261828953	5.39647026677741	2.85588086905916e-133	4.80657141520731e-131
"ENSG00000136205.16"	2.05341599292236	9.66908455672531	2.88794871346888e-133	4.80657141520731e-131
"ENSG00000100196.10"	4.27307973439219	5.14428636834706	4.66396315343411e-133	7.6392755206804e-131
"ENSG00000065485.19"	2.3636758070096	7.23798913405737	6.83822342792118e-133	1.10255668051123e-130
"ENSG00000266028.7"	2.55543037374829	6.22518890773506	1.31913354142373e-132	2.0941752329156e-130
"ENSG00000172432.18"	2.11958030223196	5.99687055829311	9.93036938703453e-132	1.55259820764863e-129
"ENSG00000171132.13"	3.43889700458213	4.75904447899885	1.04744050930403e-131	1.61321471873258e-129
"ENSG00000141424.12"	3.7367000933056	6.72575328033322	2.79236199958762e-131	4.23740933437422e-129
"ENSG00000130309.10"	2.48296400593746	7.64740038232146	4.32333141882885e-131	6.46557346534709e-129
"ENSG00000090776.5"	3.36408158323555	6.80011174480797	1.39540993319747e-130	2.05703358580923e-128
"ENSG00000136770.10"	3.34340761327408	5.12530868821939	1.51500451790146e-130	2.20187769298945e-128
"ENSG00000103187.7"	2.83476728958572	8.78117864928919	1.90786239679393e-130	2.73433778784953e-128
"ENSG00000174851.15"	1.806427086794	5.79005516694323	2.57942227156257e-130	3.64617238633619e-128
"ENSG00000125249.6"	2.69303096644032	6.02618059449877	4.42597441068854e-130	6.17184188431014e-128
"ENSG00000159128.14"	2.87324420695209	6.25966422283068	8.02863865090856e-130	1.10463362984967e-127
"ENSG00000018408.14"	2.68565549495594	6.96775157505899	3.91746523988522e-129	5.31898997504941e-127
"ENSG00000152127.8"	3.89845112565535	8.91594722032856	5.00748030524383e-129	6.7106739311443e-127
"ENSG00000185442.12"	4.28726359690455	4.299978450383	9.85048183824716e-129	1.30316823190862e-126
"ENSG00000105404.10"	2.25222508591098	5.59601877655402	6.87683168075226e-128	8.98253495109906e-126
"ENSG00000183726.10"	2.14276705171783	6.35370700151124	1.61650951016372e-126	2.08509520442242e-124
"ENSG00000149091.15"	2.12908755442401	7.18744494391761	1.58892777243791e-125	2.02421551651688e-123
"ENSG00000082512.14"	-3.03751210273304	4.07671793846427	3.64738625219468e-125	4.58992423614597e-123
"ENSG00000141384.12"	-2.41775675854626	6.16518953476614	4.20895133921064e-125	5.23279143003791e-123
"ENSG00000127946.16"	4.37190938127912	5.84265654255133	8.91109413705324e-125	1.09468548095538e-122
"ENSG00000175155.8"	4.4547766856105	5.63060475291787	1.76763682847892e-124	2.14356957492784e-122
"ENSG00000068697.6"	3.77142352866382	7.50931529754617	1.78648108773907e-124	2.14356957492784e-122
"ENSG00000139793.18"	2.39760644354616	8.93768247987139	3.14471933861956e-124	3.72992630519716e-122
"ENSG00000183722.7"	4.19816188625298	6.79712928511736	9.56844341432223e-124	1.12200872264081e-121
"ENSG00000158985.13"	2.16028059309987	7.18526187516054	1.51098642133102e-123	1.75189537996795e-121
"ENSG00000139517.7"	2.20431469337997	5.08861249380738	2.57994244471682e-123	2.95804734300365e-121
"ENSG00000070882.12"	-2.87932301298037	4.97900211669144	4.32828662952043e-123	4.90808678351883e-121
"ENSG00000188706.12"	2.88613456508765	5.41211950221887	7.91771825920584e-123	8.88075377355924e-121
"ENSG00000100593.17"	3.16057604003582	11.1048598278517	1.66333185101546e-122	1.84558294307834e-120
"ENSG00000059758.7"	2.17669319414364	7.26874866766831	2.95391783243253e-122	3.2427104375395e-120
"ENSG00000101000.5"	3.54444808610697	5.7886761823346	3.04200565232409e-121	3.30425856066656e-119
"ENSG00000106397.11"	3.13726869974895	6.90028961103502	3.82817599341075e-121	4.11489042458391e-119
"ENSG00000147459.17"	2.68540473593513	8.62763158844502	7.38123753685318e-121	7.85226702502968e-119
"ENSG00000050405.13"	2.15430190405799	9.18513703101499	9.65169190664214e-121	1.01628376310857e-118
"ENSG00000175416.12"	2.39748538090256	7.03157439796078	1.38934568059745e-120	1.44814728061466e-118
"ENSG00000001629.9"	1.35063979934744	6.93007180930625	2.64601150398917e-120	2.73041927096642e-118
"ENSG00000042493.15"	4.33303042835844	6.73212851336971	1.7114721220371e-119	1.7485822601288e-117
"ENSG00000057252.12"	2.16384277481715	7.07778061570495	2.05018958492409e-119	2.07410846341487e-117
"ENSG00000105894.11"	2.52539420047331	7.15903201062595	1.16374457493574e-117	1.16589128822931e-115
"ENSG00000196526.10"	3.41746619357115	8.90026250100652	1.1921006819547e-117	1.18281605164333e-115
"ENSG00000177989.13"	4.12546037550648	3.27569112638895	6.87362003531163e-117	6.75513191851245e-115
"ENSG00000038382.18"	1.84687090596848	8.81595194359945	9.24633736084006e-117	9.00122219118005e-115
"ENSG00000168994.13"	1.87773511059885	7.5183017998171	1.95728024055893e-116	1.88758643012407e-114
"ENSG00000106608.16"	2.00994426194988	5.59547129678103	3.40230136873509e-116	3.25077294666458e-114
"ENSG00000110619.17"	1.61664881596996	6.0058473429533	1.27462763273467e-115	1.20668647176046e-113
"ENSG00000142166.12"	2.81304407210766	6.41936507598562	1.63443574808639e-115	1.53324931677304e-113
