Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000005448.17,68,34,83,43,52,56
ENSG00000005469.12,3399.978,2996.971,2415,230,137,477.085
ENSG00000005471.19,61,92.001,61.999,16,17,23.994
ENSG00000005483.23,930.437,977,866,568.999,691.526,705.001
ENSG00000005486.17,456.478,537.334,627.615,449.159,368.044,428
ENSG00000005513.10,1,4,2,12,44,10
ENSG00000005700.15,3117.222,3259.316,3485.969,1741.275,2297.007,2060.338
ENSG00000005801.18,802.656,743.999,1226.308,763.518,745.392,697.977
ENSG00000005810.20,5881.26,6623.778,6036.078,2928.411,3385.706,3094.439
ENSG00000005812.11,2786.731,2984.999,2963.02,3234.36,3108.764,3022.594
ENSG00000005844.19,14,15.992,5,71.999,122,87.913
ENSG00000005882.12,311,484,469,69.999,40,53
ENSG00000005884.18,167.987,248,374.001,880.174,880.021,936
ENSG00000005889.16,6074.237,6255.001,7178.303,1363.221,1424.214,1737.999
ENSG00000005893.17,4959.101,5486.956,5605.762,6378.162,5555.917,6211.438
ENSG00000005961.19,145.128,195.999,183,46.002,55,35
ENSG00000005981.13,2,4,2,9,0,0
ENSG00000006007.12,2518.688,3462,3157.329,2192.253,2383.891,1959
ENSG00000006015.18,416.009,685.013,560.47,396.098,321.405,314.005
ENSG00000006016.12,25,29,6,127,83,39
ENSG00000006025.13,26,16,40,10,13,15
ENSG00000006042.12,119,119,117.048,29,27,14
ENSG00000006047.13,1,2,9,8,31,5
ENSG00000006059.4,7,15,8,2,0,0
ENSG00000006062.18,173.001,128,161.001,181,136,189
ENSG00000006071.16,126,1,2,1,0,1
ENSG00000006116.4,0,0,0,0,0,0
ENSG00000006118.15,2569.088,3362.619,2429,3350.949,3344.03,3130
ENSG00000006125.18,3295.001,4003.84,3279.912,3266.609,2281.184,2600.998
ENSG00000006128.12,0,0,0,1,0,0
ENSG00000006194.11,1124.999,1212.002,1090.188,632.321,795,724.999
ENSG00000006210.7,25.866,14,4,5,3,3
ENSG00000006282.22,756.01,552.016,638.976,707.797,719,588.999
ENSG00000006283.18,43.001,7.001,4,97,117,64
ENSG00000006327.14,992.999,504,898.001,554.709,385,532
ENSG00000006377.11,430.243,685,516,528.001,736,661
ENSG00000006432.16,604.001,627.004,849,582.007,433.088,342.999
ENSG00000006451.8,801,990.001,938,664.423,644.999,625
ENSG00000006453.14,760,1562.999,1483.974,5950.499,4758.317,4665.028
ENSG00000006459.11,2354.22,2575,3675.642,427,367,417
ENSG00000006468.15,117,124,143.001,14,36,16.999
ENSG00000006530.18,956.094,1107,1123.001,404.002,508.014,448
ENSG00000006534.17,106,72,28.999,413.154,311.999,585.494
ENSG00000006555.11,13,16,9,18,48,37
ENSG00000006576.17,1226.006,1227.998,1337.151,333,293.998,485
ENSG00000006606.9,0,0,0,0,0,0
ENSG00000006607.14,1678.279,1838.28,2099.773,1249.079,1147.517,1029.422
ENSG00000006611.17,0,0,0,0,0,0
ENSG00000006625.18,3871.755,3726.3,3496.251,519.551,467.999,585.505
ENSG00000006634.8,1040.976,1337.614,1098.256,448.78,550.75,631.378
ENSG00000006638.13,54.032,25.853,76.935,58.932,16.987,26.816
ENSG00000006652.15,4615.844,2168.505,4648.973,2578.902,2325.574,2238.976
ENSG00000006659.13,4,78,13,77,21,39
ENSG00000006695.12,935.2,865.273,888.356,519.217,540.912,526.56
ENSG00000006704.11,133.999,129.997,187.756,66,64,63.999
ENSG00000006712.15,2214.77,1998,2578.859,922.507,959.291,980.998
ENSG00000006715.16,2532.283,2571.352,2388.003,1560.068,1580.384,1623.001
ENSG00000006740.18,55,45,48.999,70,40,53
ENSG00000006744.19,3921.904,3683.995,3646.822,1476.61,1269.999,1256
ENSG00000006747.15,761,766.001,461.996,251.001,235.293,357.973
ENSG00000006756.16,1581.228,1633.001,2136.419,1946.22,2615.844,2055.003
ENSG00000006757.12,262.033,276.007,217,77.999,79,85
ENSG00000006788.14,0,0,0,0,0,0
ENSG00000006831.10,1876.297,2127,2109.002,2666.082,2773.037,2732
ENSG00000006837.12,32.419,32.673,31.101,23.224,13.075,22.311
ENSG00000007001.13,0,0,2,0,0,0
ENSG00000007038.11,4,11,7,42.999,57,71
ENSG00000007047.16,329,372,605.065,36.001,43,37.998
ENSG00000007062.12,88,55,68,3,2,4
ENSG00000007080.11,485,597,509,417.999,388.999,348
ENSG00000007129.18,1,0,0,1,2,0
ENSG00000007168.14,4356.191,4452.764,5394.628,3592.221,3382.302,3787.059
ENSG00000007171.19,51,838,229,6736.032,8390.159,7081.208
ENSG00000007174.18,6,3,0,1.379,1,0
ENSG00000007202.16,11976.675,13665.195,15011.759,7123.065,6773.08,6291.179
ENSG00000007216.16,0,1,0,0,0,1
ENSG00000007237.19,121.006,93,49,247,213.148,586
ENSG00000007255.10,517.672,484,452.999,162,236,168
ENSG00000007264.15,0,2,2,24,6,11
ENSG00000007306.15,0,0,2,0,0,0
ENSG00000007312.14,1,1,5,10,4,0
ENSG00000007314.12,4,3,1,16,9,3
ENSG00000007341.19,328,402,403,291.001,188.999,230
ENSG00000007350.18,0,0,0,1,2,0
ENSG00000007372.25,1,2,1,7,2,10
ENSG00000007376.8,518,693.999,616.999,330.019,309.027,339
ENSG00000007384.15,824,942.001,1021,1093.012,872.597,1025.173
ENSG00000007392.17,1083.001,1331.998,1439.02,1125.447,1046.999,1076
ENSG00000007402.12,5,0,4,7,0,0
ENSG00000007516.15,42,41,138,46,42,40
ENSG00000007520.4,569,728,639.037,400.572,345.041,406
ENSG00000007541.17,523.156,620.277,683.926,344.999,342.976,268.066
ENSG00000007545.16,1318.523,966.393,1457.921,837.65,767.918,817.385
ENSG00000007866.22,3418.685,4753,5234.793,4339.745,3635.975,3366.003
ENSG00000007908.16,4,4,0,8,0,0
ENSG00000007923.17,2109.862,2667.999,2575.001,1638.344,1272.813,1221.995
ENSG00000007933.13,0,2,1,0,4,4
ENSG00000007944.15,6657.021,3498,5674.471,1745.164,1727.142,2082
ENSG00000007952.18,0,0,0,0,0,0
ENSG00000007968.7,1201.035,1169,1293.979,319.129,290,317
ENSG00000008018.9,5060.348,5644.526,5287.024,3605.475,3672.218,3430
ENSG00000008056.14,5,0,7,0,0,0
ENSG00000008083.14,2226.29,2218,2966.946,2558.749,3040.034,2804.262
ENSG00000008086.13,4786.308,4602.855,5647.884,507.145,562.09,704.999
ENSG00000008118.10,0,0,0,0,0,0
ENSG00000008128.23,518.368,524.456,820.097,723.294,395.462,458.621
ENSG00000008130.15,2337.663,2246.659,2437.905,1057.931,935.001,956.862
