Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089
ENSG00000215914.4,0,1,1,0,0,2
ENSG00000008128.22,48,58,126,61,51,68
ENSG00000268575.1,96,211,147,61,107,139
ENSG00000227775.3,21,7,19,4,4,3
ENSG00000215790.6,120,141,183,38,95,64
ENSG00000008130.15,1983,2031,2166,862,740,854
ENSG00000078369.17,4970,6681,6296,5694,5019,5331
ENSG00000231050.1,4,6,4,1,2,0
ENSG00000169885.9,14,10,5,15,2,5
ENSG00000178821.12,48,40,63,15,20,18
ENSG00000142609.17,1,7,19,9,23,20
ENSG00000233542.1,0,0,0,0,0,3
ENSG00000187730.8,1,9,2,3,3,7
ENSG00000226969.1,2,6,1,1,0,0
ENSG00000067606.16,3061,4705,6467,2124,1341,1824
ENSG00000271806.1,0,0,0,0,0,0
ENSG00000182873.5,8,12,4,5,8,7
ENSG00000162585.16,283,262,245,255,211,224
ENSG00000234396.3,0,0,0,0,0,0
ENSG00000157933.9,1054,1146,1428,1365,1427,1611
ENSG00000116151.13,97,118,169,67,60,45
ENSG00000272161.1,0,0,0,0,3,0
ENSG00000269896.2,8,11,16,3,14,0
ENSG00000272420.1,0,5,3,1,1,2
ENSG00000157916.19,2286,3196,2934,2450,2104,2278
ENSG00000157911.9,646,828,811,276,357,295
ENSG00000149527.17,1,5,2,4,1,1
ENSG00000224387.1,0,0,0,1,0,0
ENSG00000229393.1,1,0,0,0,0,4
ENSG00000157881.13,547,688,696,467,369,442
ENSG00000197921.5,0,0,0,2,0,4
ENSG00000272449.1,3,4,2,4,9,9
ENSG00000238164.6,0,0,0,12,0,1
ENSG00000157873.17,41,11,3,87,100,40
ENSG00000225931.3,0,0,0,0,0,0
ENSG00000228037.1,0,0,0,0,0,0
ENSG00000157870.14,23,19,13,38,23,33
ENSG00000142606.15,0,0,0,2,0,0
ENSG00000237058.1,0,0,0,0,0,0
ENSG00000215912.12,2,6,5,0,0,0
ENSG00000283259.1,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0
ENSG00000231630.1,0,0,0,0,0,0
ENSG00000169717.6,0,0,0,0,0,0
ENSG00000177133.10,0,0,0,0,2,0
ENSG00000142611.16,0,5,1,101,108,108
ENSG00000283572.1,0,0,0,0,0,0
ENSG00000226286.1,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,1
ENSG00000272235.1,0,0,0,0,0,0
ENSG00000130762.14,231,684,365,5558,3556,5022
ENSG00000272088.1,0,0,0,10,1,3
ENSG00000162591.15,49,77,36,1531,910,1078
ENSG00000207776.1,0,0,0,0,0,0
ENSG00000238260.1,1,0,0,0,0,0
ENSG00000158109.14,409,470,393,590,491,743
ENSG00000116213.15,475,460,457,232,223,212
ENSG00000078900.14,8,22,18,53,11,46
ENSG00000227589.1,0,0,0,2,0,0
ENSG00000235131.1,0,0,0,0,0,0
ENSG00000227372.11,535,538,661,266,230,251
ENSG00000276189.1,0,0,0,0,0,0
ENSG00000162592.9,0,1,0,0,1,0
ENSG00000235169.7,40,53,35,74,56,48
ENSG00000130764.9,2188,2355,2322,969,994,1098
ENSG00000266075.2,1,1,1,0,3,3
