"logFC"	"logCPM"	"PValue"	"FDR"
"ENSG00000171345.13"	2.73526441350726	10.819637092911	2.66414914268067e-159	1.12310565696924e-156
"ENSG00000263001.5"	-2.90089617837348	5.32643216343734	2.72096534782741e-159	1.12310565696924e-156
"ENSG00000125753.13"	2.7332056828908	8.10865484307747	4.00471447462273e-158	1.58940956398584e-155
"ENSG00000204084.12"	2.31037915253108	6.56657974818457	4.96324583183496e-157	1.89687902735944e-154
"ENSG00000118985.15"	3.17028244795944	6.02821947230936	5.564205064549e-155	2.05060828789575e-152
"ENSG00000130304.16"	3.40716257180527	4.83747511533159	2.16027842761189e-151	7.6868665843197e-149
"ENSG00000122042.9"	2.53709572465479	6.94846009260629	1.27018449919605e-150	4.36901128240133e-148
"ENSG00000150961.14"	2.02025963261848	7.58339360488789	3.33856166865634e-149	1.11131025351177e-146
"ENSG00000168615.11"	2.78117076599344	8.6581348531352	2.76991075047651e-145	8.93209657317723e-143
"ENSG00000197905.8"	-3.57346106325691	4.86670913060338	7.7331150905439e-145	2.41812165513098e-142
"ENSG00000124496.12"	-3.96754390043815	3.52006316101242	8.74978207167032e-145	2.65555885875194e-142
"ENSG00000110446.10"	3.56260274345945	5.07442207808546	1.35817644267472e-144	4.00429220341728e-142
"ENSG00000108828.15"	3.56882650032501	6.37797042692217	4.71508560519506e-144	1.35152689888911e-141
"ENSG00000163251.3"	-2.38573388982542	5.81703434970554	3.88607851303786e-143	1.08379578854156e-140
"ENSG00000116016.13"	2.13724370766135	10.7935059545157	7.13903462456212e-142	1.93862363923307e-139
"ENSG00000221963.5"	2.50223601837903	7.63431943544661	1.0478539560647e-141	2.77251409554659e-139
"ENSG00000198380.12"	1.74355984863955	8.17817749358873	1.13884984126757e-141	2.93794787801002e-139
"ENSG00000109684.14"	7.50861911248726	2.87768533220518	6.65492821102559e-141	1.67493180998959e-138
"ENSG00000197496.5"	2.96463582686707	5.67163705952506	6.90383435602458e-141	1.69620635047185e-138
"ENSG00000124766.6"	2.88862099794451	7.73269113544217	8.49840038631473e-141	2.03941845549725e-138
"ENSG00000198853.11"	3.67289692916022	6.06298144115462	1.09935544554555e-140	2.57823837331467e-138
"ENSG00000108679.12"	2.795946925817	9.03588012986604	4.56622629161486e-140	1.04708642451497e-137
"ENSG00000140743.7"	3.15608095792189	4.69155590305695	6.78618684203735e-140	1.52231873963007e-137
"ENSG00000067066.16"	2.26033365739707	5.47467224160312	4.44160078222754e-139	9.75167627059702e-137
"ENSG00000169696.15"	2.29354716346912	6.76024256826027	8.13866122934101e-139	1.74964260886604e-136
"ENSG00000186522.14"	2.04927711928332	6.24686418072947	6.34426540452484e-137	1.33605050427126e-134
"ENSG00000070540.12"	2.21666378011918	7.05461149300012	1.04357811290645e-136	2.15373650941633e-134
"ENSG00000088280.18"	4.28822394591739	8.64671351933875	2.06028489670471e-136	4.16864310766587e-134
"ENSG00000139433.9"	-2.28205158269437	5.89851955629273	7.19602777541059e-136	1.42799635797042e-133
"ENSG00000180530.10"	2.90484660126179	9.92382388073835	1.80742607163047e-134	3.51902445908582e-132
"ENSG00000001036.13"	1.96020890468354	6.38409953812808	1.9477039364852e-134	3.72191794825754e-132
"ENSG00000166974.12"	5.60748527747463	5.37841762833564	3.43240770194136e-134	6.43982092296963e-132
"ENSG00000139116.18"	3.12469585711916	7.93959039534272	6.12170674202417e-134	1.12803378340978e-131
"ENSG00000166128.12"	2.73005440314798	8.2202447772679	9.14589799317584e-134	1.65572844546634e-131
"ENSG00000166710.17"	2.70172147581556	10.1934847224252	1.80214455924985e-133	3.20626374256883e-131
"ENSG00000101160.13"	2.49439762465162	6.38157948894306	1.95237682015922e-133	3.41467396732593e-131
"ENSG00000114850.6"	1.99027180017461	7.76148246402961	2.16286396775523e-133	3.71976554721103e-131
"ENSG00000142669.14"	2.87005261828953	5.39647025010876	2.85588086905899e-133	4.80657141520841e-131
"ENSG00000136205.16"	2.05341599292236	9.66908455598655	2.88794871346953e-133	4.80657141520841e-131
"ENSG00000100196.10"	4.27307973439219	5.14428633965291	4.66396315343809e-133	7.63927552068692e-131
"ENSG00000065485.19"	2.3636758070096	7.23798912966756	6.83822342792157e-133	1.10255668051129e-130
"ENSG00000266028.7"	2.55543037374829	6.22518889863441	1.31913354142545e-132	2.09417523291835e-130
"ENSG00000172432.18"	2.11958030223196	5.99687054896659	9.93036938703396e-132	1.55259820764854e-129
"ENSG00000171132.13"	3.43889700458213	4.75904445167283	1.04744050930582e-131	1.61321471873534e-129
"ENSG00000141424.12"	3.7367000933056	6.72575327163311	2.79236199958492e-131	4.23740933437012e-129
"ENSG00000130309.10"	2.48296400593746	7.64740037930155	4.32333141883033e-131	6.4655734653493e-129
"ENSG00000090776.5"	3.36408158323555	6.80011173677533	1.39540993319937e-130	2.05703358581205e-128
"ENSG00000136770.10"	3.34340761327408	5.12530866772519	1.51500451789913e-130	2.20187769298607e-128
"ENSG00000103187.7"	2.83476728958572	8.78117864766674	1.90786239679404e-130	2.73433778784968e-128
"ENSG00000174851.15"	1.806427086794	5.79005515750174	2.57942227156536e-130	3.64617238634013e-128
"ENSG00000125249.6"	2.69303096644032	6.02618058422034	4.42597441069358e-130	6.17184188431717e-128
"ENSG00000159128.14"	2.87324420695209	6.25966421113045	8.02863865090811e-130	1.10463362984961e-127
"ENSG00000018408.14"	2.68565549495594	6.96775156956864	3.91746523988366e-129	5.31898997504729e-127
"ENSG00000152127.8"	3.89845112565535	8.91594721820044	5.00748030524383e-129	6.7106739311443e-127
"ENSG00000185442.12"	4.28726359690455	4.2999784002195	9.85048183824144e-129	1.30316823190786e-126
"ENSG00000105404.10"	2.25222508591098	5.59601876327603	6.8768316807413e-128	8.98253495108474e-126
"ENSG00000183726.10"	2.14276705171783	6.35370699430731	1.61650951016335e-126	2.08509520442195e-124
"ENSG00000149091.15"	2.12908755442401	7.18744493976787	1.58892777243971e-125	2.02421551651919e-123
"ENSG00000082512.14"	-3.03751210273304	4.07671797606652	3.64738625218824e-125	4.58992423613786e-123
"ENSG00000141384.12"	-2.41775675854626	6.16518954308719	4.20895133921064e-125	5.23279143003791e-123
"ENSG00000127946.16"	4.37190938127912	5.8426565235027	8.91109413705374e-125	1.09468548095545e-122
"ENSG00000175155.8"	4.4547766856105	5.63060473291347	1.76763682847923e-124	2.14356957492784e-122
"ENSG00000068697.6"	3.77142352866382	7.50931529280482	1.78648108773907e-124	2.14356957492784e-122
"ENSG00000139793.18"	2.39760644354616	8.93768247846929	3.14471933861921e-124	3.72992630519673e-122
"ENSG00000183722.7"	4.19816188625298	6.79712927638915	9.56844341430697e-124	1.12200872263902e-121
"ENSG00000158985.13"	2.16028059309987	7.18526187089573	1.51098642133308e-123	1.75189537997034e-121
"ENSG00000139517.7"	2.20431469337997	5.08861247619274	2.57994244471682e-123	2.95804734300365e-121
"ENSG00000070882.12"	-2.87932301298037	4.97900213756681	4.32828662952733e-123	4.90808678352665e-121
"ENSG00000188706.12"	2.88613456508765	5.41211948036559	7.91771825920358e-123	8.88075377355672e-121
"ENSG00000100593.17"	3.16057604003582	11.104859827404	1.6633318510148e-122	1.8455829430776e-120
"ENSG00000059758.7"	2.17669319414364	7.26874866345687	2.95391783243135e-122	3.2427104375382e-120
"ENSG00000101000.5"	3.54444808610697	5.78867616687547	3.04200565232167e-121	3.30425856066392e-119
"ENSG00000106397.11"	3.13726869974895	6.90028960400259	3.82817599341075e-121	4.11489042458391e-119
"ENSG00000147459.17"	2.68540473593513	8.62763158655209	7.38123753685233e-121	7.85226702502879e-119
"ENSG00000050405.13"	2.15430190405799	9.18513702998925	9.65169190664104e-121	1.01628376310846e-118
"ENSG00000175416.12"	2.39748538090256	7.03157439204557	1.38934568059825e-120	1.44814728061548e-118
"ENSG00000001629.9"	1.35063979934744	6.93007180541017	2.64601150398917e-120	2.73041927096642e-118
"ENSG00000042493.15"	4.33303042835844	6.73212850432234	1.7114721220372e-119	1.7485822601289e-117
"ENSG00000057252.12"	2.16384277481715	7.07778061105859	2.05018958492397e-119	2.07410846341475e-117
"ENSG00000105894.11"	2.52539420047331	7.1590320052104	1.16374457493687e-117	1.16589128823044e-115
"ENSG00000196526.10"	3.41746619357115	8.90026249940793	1.19210068195464e-117	1.18281605164326e-115
"ENSG00000177989.13"	4.12546037550648	3.27569103969295	6.87362003531655e-117	6.75513191851729e-115
"ENSG00000038382.18"	1.84687090596848	8.81595194234744	9.246337360839e-117	9.00122219117902e-115
"ENSG00000168994.13"	1.87773511059885	7.51830179670898	1.95728024055815e-116	1.88758643012332e-114
"ENSG00000106608.16"	2.00994426194988	5.59547128524648	3.40230136873451e-116	3.25077294666402e-114
"ENSG00000110619.17"	1.61664881596996	6.00584733531487	1.2746276327335e-115	1.20668647175936e-113
"ENSG00000142166.12"	2.81304407210766	6.41936506809882	1.63443574808453e-115	1.5332493167713e-113
"ENSG00000123908.11"	-1.94282217030523	7.01567914595774	1.77223504218659e-115	1.64753994597509e-113
"ENSG00000131724.10"	2.21541620524693	6.09738581444234	3.37623404628504e-115	3.11065706460851e-113
"ENSG00000250899.3"	-4.1849934022346	3.6183586704005	3.55119189962608e-115	3.24289816037536e-113
"ENSG00000104765.15"	1.97097550258841	6.41284772038386	3.7124254590099e-115	3.36039634311607e-113
"ENSG00000033100.16"	1.74075231446361	5.8282440815003	6.26259414919221e-115	5.61945295874039e-113
"ENSG00000112062.10"	-1.68646082438812	6.78372602035537	7.17176367893082e-115	6.37977839680061e-113
"ENSG00000115594.11"	3.71030543673904	8.968824631548	1.14589290732318e-114	1.01063836843315e-112
"ENSG00000163382.11"	-2.19916442831953	4.46445911295392	1.42993077214513e-114	1.25046234218353e-112
